notar_id,vorname,nachname,titel,email,telefon,notarstelle,bestellt_am,beginn_datum,ende_datum,war_vorher_anwaerter,ist_aktiv
NOT-000021,Daniela,Schwarz,Dr.,daniela.schwarz@notariat-leoben.at,+43 3842 4334567-10,NST-000021,2020-08-19,2020-08-19,,True,True
NOT-000022,Alexander,Wolf,DDr.,alexander.wolf@notariat-kufstein.at,+43 5372 6234567-10,NST-000022,2012-10-25,2012-10-25,,True,True
NOT-000023,Susanne,Maier,Mag.,susanne.maier@notariat-amstetten.at,+43 7472 6534567-10,NST-000023,2018-01-09,2018-01-09,,True,True
NOT-000024,Markus,Haas,Dr.,markus.haas@notariat-traun.at,+43 7229 7834567-10,NST-000024,2016-03-17,2016-03-17,,True,True
NOT-000025,Eva,Koller,Dr.,eva.koller@notariat-wolfsberg.at,+43 4352 2534567-10,NST-000025,2019-06-13,2019-06-13,,False,True
NOT-000026,Christian,Graf,Mag.,christian.graf@notariat-feldkirch.at,+43 5522 7234567-10,NST-000026,2015-11-04,2015-11-04,,True,True
NOT-000027,Sonja,Baumgartner,Dr.,sonja.baumgartner@notariat-kapfenberg.at,+43 3862 2234567-10,NST-000027,2021-09-28,2021-09-28,,True,True
NOT-000028,Andreas,Schuster,Dr.,andreas.schuster@notariat-hallein.at,+43 6245 8034567-10,NST-000028,2014-12-11,2014-12-11,,True,True
NOT-000029,Katharina,Weiss,Mag.,katharina.weiss@notariat-schwaz.at,+43 5242 6234567-10,NST-000029,2017-05-08,2017-05-08,,True,True
NOT-000030,Martin,Auer,DDr.,martin.auer@notariat-spittal.at,+43 4762 2534567-10,NST-000030,2013-03-20,2013-03-20,,True,True
NOT-000031,Gabriele,Winkler,Dr.,gabriele.winkler@notariat-wien1.at,+43 1 5123456-20,NST-000001,2020-07-01,2020-07-01,,True,True
NOT-000032,Friedrich,Ebner,Mag.,friedrich.ebner@notariat-graz.at,+43 316 8234567-20,NST-000004,2019-02-14,2019-02-14,,True,True
NOT-000033,Ingrid,Lehner,Dr.,ingrid.lehner@notariat-linz.at,+43 732 7734567-20,NST-000005,2021-10-05,2021-10-05,,False,True
NOT-000034,Bernhard,Seidl,Dr.,bernhard.seidl@notariat-salzburg.at,+43 662 8434567-20,NST-000006,2018-08-23,2018-08-23,,True,True
NOT-000035,Renate,Hofer,Mag.,renate.hofer@notariat-innsbruck.at,+43 512 5834567-20,NST-000007,2016-04-18,2016-04-18,,True,True
NOT-000036,Herbert,Schmied,Dr.,herbert.schmied@notariat-klagenfurt.at,+43 463 5134567-20,NST-000008,2020-11-30,2020-11-30,,True,True
NOT-000037,Monika,Weber,Dr.,monika.weber@notariat-wien2.at,+43 1 5334567-20,NST-000002,2015-01-12,2015-01-12,,True,True
NOT-000038,Roland,Böhm,Mag.,roland.boehm@notariat-stpoelten.at,+43 2742 3534567-20,NST-000010,2017-09-27,2017-09-27,,True,True
NOT-000039,Petra,Schreiber,DDr.,petra.schreiber@notariat-wels.at,+43 7242 4534567-20,NST-000015,2019-12-16,2019-12-16,,True,True
NOT-000040,Günther,Kramer,Dr.,guenther.kramer@notariat-villach.at,+43 4242 2634567-20,NST-000016,2014-07-09,2014-07-09,,True,True
